state_name,age_bracket,state_code,Below_primary_share_total_female,CMPR_agri_labourers_female,CMPR_below_primary_female,CMPR_cultivators_female,CMPR_household_industry_female,CMPR_illiterate_female,CMPR_main_workers_female,CMPR_matric_female,CMPR_middle_female,CMPR_non_workers_female,CMPR_other_workers_female,CMPR_primary_female,CMPR_total_female,Child_labour_attending_total_female,Child_labour_dropout_total_female,Dropout_rate_total_female,Illiteracy_rate_total_female,Literacy_rate_total_female,Non_worker_dropout_total_female,School_attendance_rate_total_female
Goa,age_18_21,30,5.9386,48.2775,45.1863,52.4775,,45.4796,34.1864,30.321,37.4226,,,42.9004,38.3138,39.5638,47.0685,47.0685,8.5131,91.4869,0.0,52.9315
Goa,age_18_21,30,5.9386,48.2775,45.1863,52.4775,,45.4796,34.1864,30.321,37.4226,,,42.9004,38.3138,39.5638,47.0685,47.0685,8.5131,91.4869,0.0,52.9315
Goa,age_18_21,30,5.9386,48.2775,45.1863,52.4775,,45.4796,34.1864,30.321,37.4226,,,42.9004,38.3138,39.5638,47.0685,47.0685,8.5131,91.4869,0.0,52.9315
Goa,age_18_21,30,5.9386,48.2775,45.1863,52.4775,,45.4796,34.1864,30.321,37.4226,,,42.9004,38.3138,39.5638,47.0685,47.0685,8.5131,91.4869,0.0,52.9315
Goa,age_below10,30,95.9617,1.075,0.8093,0.7701,,1.1554,0.9639,0.792,0.9818,,,0.9079,0.9456,76.7473,23.1057,23.1057,72.2184,27.7816,0.0,76.8943
Goa,age_below10,30,95.9617,1.075,0.8093,0.7701,,1.1554,0.9639,0.792,0.9818,,,0.9079,0.9456,76.7473,23.1057,23.1057,72.2184,27.7816,0.0,76.8943
Goa,age_below10,30,95.9617,1.075,0.8093,0.7701,,1.1554,0.9639,0.792,0.9818,,,0.9079,0.9456,76.7473,23.1057,23.1057,72.2184,27.7816,0.0,76.8943
Goa,age_below10,30,95.9617,1.075,0.8093,0.7701,,1.1554,0.9639,0.792,0.9818,,,0.9079,0.9456,76.7473,23.1057,23.1057,72.2184,27.7816,0.0,76.8943
Goa,age_below10,30,95.9617,1.075,0.8093,0.7701,,1.1554,0.9639,0.792,0.9818,,,0.9079,0.9456,76.7473,23.1057,23.1057,72.2184,27.7816,0.0,76.8943
Goa,age_below10,30,95.9617,1.075,0.8093,0.7701,,1.1554,0.9639,0.792,0.9818,,,0.9079,0.9456,76.7473,23.1057,23.1057,72.2184,27.7816,0.0,76.8943
Lakshadweep,age_10_13,31,39.1598,,2.1933,,,3.9952,1.3107,0.5175,0.352,,,1.931,,96.2323,3.7677,3.7677,2.9036,97.0964,0.0,96.2323
Lakshadweep,age_14_17,31,6.245,,34.3043,,,36.799,17.579,10.1552,21.5574,,,33.9981,,71.5227,28.4386,28.4386,3.2158,96.7842,0.0,71.5614
Lakshadweep,age_18_21,31,8.0068,,53.4613,,,47.6534,46.8003,53.6223,58.9969,,,51.7569,,21.4699,77.9521,77.9521,3.0553,96.9447,0.0,22.0479
Lakshadweep,age_below10,31,98.4997,,0.891,,,1.2515,1.0794,0.9702,1.4518,,,1.2029,,81.7134,18.2555,18.2555,76.0056,23.9944,0.0,81.7445
Kerala,age_10_13,32,23.383,1.6975,2.9102,1.9106,,3.805,0.958,0.1679,0.5593,,,2.0156,,97.8866,1.9676,1.9676,1.2983,98.7017,0.0,98.0324
Kerala,age_14_17,32,1.3534,23.1834,28.6483,19.7831,,30.1175,14.2173,7.6295,19.6779,,,26.6685,,80.6261,17.6686,17.6686,1.2785,98.7215,0.0,82.3314
Kerala,age_18_21,32,1.7259,47.2733,43.7608,44.6237,,42.6761,39.5294,43.6215,47.6544,,,44.9692,,40.2161,54.1928,54.1928,1.7468,98.2532,0.0,45.8072
Kerala,age_below10,32,97.9232,1.6194,1.8211,1.745,,1.901,1.335,1.2561,1.6571,,,1.773,,80.1114,19.8178,19.8178,73.9018,26.0982,0.0,80.1822
Tamil Nadu,age_10_13,33,18.9359,2.2038,2.0368,2.0218,,2.8719,2.0216,0.5486,1.2409,,,1.7594,,87.46,10.0723,10.0723,6.7866,93.2134,0.0,89.9277
Tamil Nadu,age_14_17,33,5.435,27.4922,24.8937,26.4565,,28.0254,24.7376,13.0939,22.688,,,24.5875,,58.715,28.4221,28.4221,9.4158,90.5842,0.0,71.5779
Tamil Nadu,age_18_21,33,5.79,50.5859,49.0034,50.6459,,47.5431,48.1809,47.8078,49.4708,,,49.2326,,25.3071,51.4226,51.4226,14.0244,85.9756,0.0,48.5774
Tamil Nadu,age_below10,33,93.3677,1.0379,1.0578,1.0495,,1.0144,1.0259,1.0874,1.1548,,,1.09,,80.5914,19.0004,19.0004,72.5356,27.4644,0.0,80.9996
State - PONDICHERRY  34,age_10_13,34,22.4763,3.9915,3.8742,4.0777,,5.2867,2.8972,0.3412,1.1457,,,2.382,,94.4345,4.9187,4.9187,3.7369,96.2631,0.0,95.0813
State - PONDICHERRY  34,age_14_17,34,2.8084,34.9905,33.1954,29.3204,,35.2429,27.0873,12.3933,24.8211,,,30.2214,,70.4087,23.8339,23.8339,3.9859,96.0141,0.0,76.1661
State - PONDICHERRY  34,age_18_21,34,3.1765,47.7273,45.048,47.767,,43.7854,41.4939,48.0004,49.7273,,,47.5441,,34.3364,52.8875,52.8875,7.1836,92.8164,0.0,47.1125
State - PONDICHERRY  34,age_below10,34,96.8484,1.0795,1.2071,0.7767,,1.2109,0.9236,1.076,1.1783,,,1.2474,,85.1343,14.7924,14.7924,74.954,25.046,0.0,85.2076
Andaman & Nicobar Islands,age_10_13,35,39.2401,7.1795,6.7239,6.8289,,6.6459,3.6347,0.5573,1.3952,,,3.8251,,90.0978,9.4398,9.4398,6.4672,93.5328,0.0,90.5602
Andaman & Nicobar Islands,age_14_17,35,6.2151,39.4872,36.8156,32.7358,,32.1776,21.4121,11.1964,25.1303,,,34.1637,,74.9285,23.4277,23.4277,5.3602,94.6398,0.0,76.5723
Andaman & Nicobar Islands,age_18_21,35,5.9451,35.8974,42.1764,44.0461,,41.4314,37.4334,49.041,52.578,,,46.3759,,36.9402,58.8812,58.8812,8.1938,91.8062,0.0,41.1188
Andaman & Nicobar Islands,age_below10,35,97.485,4.6154,1.6724,2.6035,,2.1467,1.5618,1.035,1.3391,,,1.4923,,72.2624,27.6301,27.6301,73.4293,26.5707,0.0,72.3699
