state_name,age_bracket,state_code,Below_primary_share_SC_female,CMPR_SC_female,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_dropout_SC_female,Dropout_rate_SC_female,Graduate_share_SC_female,Illiteracy_rate_SC_female,Literacy_rate_SC_female,Non_worker_dropout_SC_female,School_attendance_rate_SC_female
Kerala,age_14_17,32,5.8953,5.0314,3.094,1.4054,2.1566,8.8986,0.0,0.9286,99.0714,6.742,91.1014
Kerala,age_18_21,32,3.6882,27.3596,15.5396,1.9934,9.4985,37.381,0.0,1.0346,98.9654,27.8824,62.619
Kerala,age_22_25,32,1.748,59.9084,38.411,,,,17.0617,1.3882,98.6118,,
Kerala,age_26_29,32,2.3037,78.6602,60.4802,,,,14.9764,2.2852,97.7148,,
Kerala,age_30_33,32,4.1477,85.7338,79.6996,,,,8.582,3.7946,96.2054,,
Kerala,age_34_plus,32,21.7792,65.4688,77.8409,,,,3.1134,26.9579,73.0421,,
Kerala,age_below10,32,95.5745,0.0,0.0,0.4796,0.1863,21.9247,0.0,70.8797,29.1203,21.7383,78.0753
Tamil Nadu,age_10_13,33,10.5779,1.9172,1.2892,1.537,1.0595,5.0878,0.0,2.5032,97.4968,4.0283,94.9122
Tamil Nadu,age_14_17,33,0.8575,7.9251,4.7686,2.3145,9.7091,22.2211,0.0,2.6094,97.3906,12.512,77.7789
Tamil Nadu,age_18_21,33,1.3756,36.7664,22.1718,2.3307,27.1975,58.8215,0.0,4.5212,95.4788,31.624,41.1785
Tamil Nadu,age_22_25,33,2.1691,71.194,52.0722,,,,11.7659,9.0653,90.9347,,
Tamil Nadu,age_26_29,33,4.3773,85.944,74.4831,,,,11.9525,18.7191,81.2809,,
Tamil Nadu,age_30_33,33,6.9915,89.8852,87.7176,,,,9.8095,30.5378,69.4622,,
Tamil Nadu,age_34_plus,33,13.6106,71.5183,81.6923,,,,5.1586,64.5429,35.4571,,
Tamil Nadu,age_below10,33,90.4279,0.0,0.0,1.1394,0.414,17.8477,0.0,71.1703,28.8297,17.4337,82.1523
Puducherry,age_10_13,34,11.9233,1.7819,1.4499,0.705,0.3525,3.2115,0.0,2.6632,97.3368,2.859,96.7885
Puducherry,age_14_17,34,0.5651,6.0688,3.824,0.9387,3.0294,14.3081,0.0,1.849,98.151,11.2786,85.6919
Puducherry,age_18_21,34,0.7906,29.2265,17.8979,1.0847,12.4868,49.6296,0.0,2.963,97.037,37.1429,50.3704
Puducherry,age_22_25,34,1.0178,60.7625,45.0978,,,,14.1868,4.8902,95.1098,,
Puducherry,age_26_29,34,2.302,78.6252,67.4671,,,,16.902,9.5419,90.4581,,
Puducherry,age_30_33,34,3.8968,86.0558,83.74,,,,13.8825,18.2095,81.7905,,
Puducherry,age_34_plus,34,11.3012,64.2296,77.3901,,,,8.0976,59.5851,40.4149,,
Puducherry,age_below10,34,93.0145,0.0,0.0,0.5914,0.1623,15.0162,0.0,72.6264,27.3736,14.8539,84.9838
